Title,Job Link,Job ID,Job Category ID,Company Name,Promotion Text,Location,Experience Required,Deadline,Vacancy,Age,Salary,Published,Additional Requirements,Education,Remuneration Package,Employment Status,Gender
Senior Executive / Assistant Manager - VAT & Tax,https://jobs.bdjobs.com/jobdetails/?id=1393182&fcatId=1&ln=1,1393182,1,Tiger Battery Co. Ltd.,N/A,GULSHAN 1,3 to 6 year(s),5 Sep2025,2,30 to 40 years,Tk. 35000 - 70000 (Monthly),06 Aug 2025,"Age 30 to 40 years; Strong knowledge of Bangladesh VAT & Tax laws and regulations.; Proficiency in MS Excel and accounting software (ERP experience preferred).; Excellent analytical, problem-solving, and communication skills.; Ability to work under pressure and meet deadlines.",Bachelor of Business Administration (BBA); Master of Business Administration (MBA); (CA/ACCA partly qualified will be an added advantage).,"Mobile bill,Performance bonus; Salary Review: Yearly; Festival Bonus: 2",Full Time,N/A
Manager/Senior Manager (Internal Audit),https://jobs.bdjobs.com/jobdetails/?id=1393171&fcatId=1&ln=1,1393171,1,A Leading Manufacturing Company,N/A,Dhaka,8 to 12 year(s),5 Sep2025,--,N/A,Negotiable,06 Aug 2025,"Experience in Management Accounting, knowledge of group financial reporting, Regulatory Audit & Inspection, Specialization on Core-risk areas, financial analysis & audit risk scoring, identifying trends/ typology of systemic control loopholes etc.; Strong understanding of audit methodology and audit execution processes.; Positive attitude with leadership, teamwork and decision-making capabilities.; Self-propelled, proficient in customer-centricity, team player, and capability to meet deadlines.","Masters/ Bachelor’s degree from a reputed university with a satisfactory academic track record.; Professional certification e.g. CIA, ACA, ACCA, ACMA and/or CIMA is preferred.","Credit card,T/A,Mobile bill,Tour allowance; Lunch Facilities: Full Subsidize; Salary Review: Yearly; Festival Bonus: 2",Full Time,N/A
Accountant,https://jobs.bdjobs.com/jobdetails/?id=1393137&fcatId=1&ln=1,1393137,1,Merchants Machinery Services Limited,"Exciting full-time role in DOHS Baridhara, Dhaka. Seeking skilled Accountant (3-5 yrs exp). Tally, Tax, LC expertise preferred. BBA/MBA required; CA (CC) is a plus. Competitive salary, yearly review & festival bonuses offered.",DOHS Baridhara,3 to 5 year(s),5 Sep2025,2,27 to 40 years,Negotiable,06 Aug 2025,Age 27 to 40 years,Bachelor of Business Administration (BBA) in Accounting; Master of Business Administration (MBA) in Accounting; Bachelor of Business Administration (BBA) in Finance & Banking; Master of Business Administration (MBA) in Finance & Banking,N/A,Full Time,Only Male
Manager/ Dy. Mgr. (Costing),https://jobs.bdjobs.com/jobdetails/?id=1393159&fcatId=1&ln=1,1393159,1,Paragon Group,N/A,Ashulia,10 to 14 year(s),15 Aug2025,2,35 to 40 years,Negotiable,06 Aug 2025,"Age 35 to 40 years; Must have good computer knowledge (MS Office), emailing and ERP software using.; Ability to meet deadlines.; Should be IQ-smart, honest, energetic and polite in manner with positive personality.; Pro-active, independent and result oriented.; Communication, coordination & leadership skill.",Master of Commerce (MCom) in Accounting,"Mobile bill,Gratuity; Lunch Facilities: Partially Subsidize; Salary Review: Yearly; Festival Bonus: 3",Full Time,N/A
Senior Executive/Asst. Manager-Internal Control & Compliance,https://jobs.bdjobs.com/jobdetails/?id=1393114&fcatId=1&ln=1,1393114,1,Remark HB Limited,,Gulshan,At least 2 year(s),30 Aug2025,2,At least 25 years,Negotiable,06 Aug 2025,"Age At least 25 years; Having a high level of experience/knowledge of auditing different business functions.; Experience of working in ERP environment.; Knowledge of Tax/VAT legislation and other regulations affecting businesses e.g. Companies Act, SEC regulations etc.",N/A,N/A,Full Time,N/A
Executive-Internal Control & Compliance,https://jobs.bdjobs.com/jobdetails/?id=1393103&fcatId=1&ln=1,1393103,1,Remark HB Limited,,Rangpur,At least 1 year(s),30 Aug2025,1,At least 22 years,Negotiable,06 Aug 2025,"Age At least 22 years; Experience using accounting software.; Strong understanding of accounting.; Prior working experience in Auditing.; Understanding or risk management and frameworks.; Strong interpersonal skills, critical thinking skills and time management skills.",Bachelor of Business Administration (BBA) in Accounting & Information System,N/A,Full Time,N/A
Accounts Executive,https://jobs.bdjobs.com/jobdetails/?id=1390603&fcatId=1&ln=1,1390603,1,Leatherex Footwear Ind. Ltd.,N/A,"Gulshan, Savar",Na,28 Aug2025,2,N/A,Negotiable,06 Aug 2025,N/A,N/A,"T/A,Mobile bill; Salary Review: Yearly; Festival Bonus: 2",Full Time,N/A
"Management Trainee (Tax, VAT & Audit Assurance)",https://jobs.bdjobs.com/jobdetails/?id=1393068&fcatId=1&ln=1,1393068,1,A Renowned Chartered Accountants Firm,,Purana Paltan,Na,5 Sep2025,--,N/A,Tk. 5000 (Monthly),06 Aug 2025,"ব্যক্তি শ্রেণীর আয়কর রিটার্ন প্রস্তুত করা হাতে কলমে শিখানো হবে।; কোম্পানি আয়কর রিটার্ন প্রস্তুত করা হাতে কলমে শিখানো হবে।; Corporate Tax Planning হাতে কলমে শিখানো হবে।; Value Added Tax (VAT) সংক্রান্ত কাজ হাতে কলমে শিখানো হবে।; Registrar of Joint Stock Companies and Firms (RJSC) সংক্রান্ত কাজ হাতে কলমে শিখানো হবে।; NBR সংক্রান্ত কাজ হাতে কলমে শিখানো হবে।; External Audit সংক্রান্ত কাজ হাতে কলমে শিখানো হবে।; Management Audit, Internal Audit, Inventory Audit সংক্রান্ত কাজ হাতে কলমে শিখানো হবে।; Financial Statement Preparation হাতে কলমে শিখানো হবে।; Tally ও Excel এর কাজ হাতে কলমে শিখানো হবে।; অনভিজ্ঞদের বিশেষ ট্রেনিং এর মাধ্যমে তাদের কর্মদক্ষতা বাড়ানো হবে।; প্রত্যেক শনিবার ৯.৩০ থেকে ২.০০টা পযন্ত ট্রেনিং এর সূযোগ (IAS, IFRS, ISA & Tax-VAT); বাস্তব অভিজ্ঞতার ফলে ক্যারিয়ার ডেভেলপমেন্ট করা সহজ হবে।; কমপক্ষে ৬ মাস কাজ করলে Experience Certificate প্রদান করা হবে।","Bachelor of Business Administration (BBA) in Accounting; Master of Business Administration (MBA) in Accounting; Bachelor of Commerce (BCom) in Accounting; Master of Commerce (MCom) in Accounting; Bachelor of Commerce (BCom) in Finance; BBA/ MBA, B.COM/ M.COM, BBS/ MBS (Accounting/ Finance)",N/A,Full Time,N/A
Assistant Officer - Support,https://jobs.bdjobs.com/jobdetails/?id=1392679&fcatId=1&ln=1,1392679,1,Muslim Hands International,N/A,Uttar Khan,At least 1 year(s),16 Aug2025,1,At most 35 years,Tk. 20000 - 20000 (Monthly),06 Aug 2025,"Age At most 35 years; Education and Other Qualification:; At least 1 year experience in relevant field; Skilled in MS Office (Word, Excel, PPT); Additional Requirements:; Age not exceeding 35 years.; Proficiency in accounting software (e.g., QuickBooks, Sage) will be an added advantage.; Strong attention to detail and accuracy in data entry and recordkeeping.; Excellent organizational skills with the ability to manage multiple tasks simultaneously.; Basic understanding of accounting principles and practices.; Effective communication skills with the ability to collaborate with colleagues and stakeholders.; Prior experience in accounting or finance within a non-profit organization or educational institution is preferred.",Bachelor of Commerce (BCom) in Accounting; Bachelor’s degree in Accounting/Finance/Management or a related field,N/A,Contractual,N/A
"Executive/Sr. Executive, Accounts & Finance",https://jobs.bdjobs.com/jobdetails/?id=1393018&fcatId=1&ln=1,1393018,1,DBL Lifestyles Limited (A Concern of DBL Group),N/A,Dhaka,2 to 6 year(s),5 Sep2025,1,N/A,Negotiable,06 Aug 2025,"Candidates having experience in overseeing Retail outlets' accounting related tasks will get preference.; Proficiency in MS Excel (VLOOKUP, Pivot Tables, etc.).; Familiarity with accounting software.; Strong analytical and problem-solving abilities.; Attention to detail and high accuracy.; Good communication and teamwork skills.; Collaborative team setting with growth opportunities.",Bachelor of Business Administration (BBA) in Accounting; Master of Business Administration (MBA) in Accounting,N/A,Full Time,N/A
Branch Accountant,https://jobs.bdjobs.com/jobdetails/?id=1392975&fcatId=1&ln=1,1392975,1,Parashmoni Shamajik Unnayan Shangstha,N/A,Mymensingh,At least 1 year(s),4 Sep2025,--,At most 45 years,Tk. 18600 (Monthly),05 Aug 2025,Age At most 45 years; বিবিএ/বিকম (একাউন্টিং/ফিন্যান্স)।; সিজিপিএ ২.৫০/৪.০০।; মাইক্রোসফ্ট অফিসে দক্ষ হতে হবে(বিশেষত মাইক্রোসফট এক্সেলে)।; বিশ্লেষণ এবং সমস্যা সমাধানের দক্ষতা।; সুক্ষ্ম পর্যবেক্ষণ এবং অনুধাবন দক্ষতা।; ভালো রিপোর্টিং এবং বুঝানোর দক্ষতা।,Bachelor of Business Administration (BBA) in Accounting; Bachelor of Business Administration (BBA) in Finance; Bachelor of Commerce (BCom) in Accounting; Bachelor of Commerce (BCom) in Finance; Bachelor of Business Administration (BBA),"Provident fund,Gratuity; Salary Review: Yearly; Festival Bonus: 3; Salary Review: Yearly; Festival Bonus: ৩; শিক্ষানবীশ কাল ১-৩ মাস ১০ হাজার টাকা।; স্থায়ীকরণের পর,বেতন সর্বসাকুল্যে ২০,৬০০ টাকা।বোনাস: বেতনের সাথে বছরে ২টি উৎসব বোনাস (বেসিকের সমান),১টি বৈশাখী ভাতা (বেসিকের ২০%) এবং রমজানে ইফতার বিল।; অন্যান্য সুবিধা:নিজস্ব বাহন (সাইকেল/ই-বাইক/স্কুটি/মটরসাইকেল) থাকা বাধ্যতামূলক। বাহনের মেরামত বিল দেয়া হবে। নিজস্ব মটরসাইকেল এবং বৈধ ড্রাইভিং লাইসেন্স থাকলে স্থায়ীকরণের পর মেরামত বিলের পাশাপাশি শর্তসাপেক্ষে জ্বালানি বিল প্রদান করা হবে।চাকরি বিধিমালা অনুযায়ী প্রভিডেন্ট ফান্ড গ্র্যাচুয়িটি ও অন্যান্য সুযোগ-সুবিধা প্রদান করা হবে।ক্রেডিট অফিসারের জন্য ১২ হাজার টাকা ফেরতযোগ্য জামানত এবং অভিভাবক কর্তৃক ৩০০ টাকার নন জুডিশিয়াল স্ট্যাম্পে অঙ্গীকার নামাসহ প্রযোজ্য অন্যান্য জামানত প্রদান বাধ্যতামূলক।",Full Time,Only Male
Accountant,https://jobs.bdjobs.com/jobdetails/?id=1392867&fcatId=1&ln=1,1392867,1,Star Go Fly,N/A,Purana Paltan,At least 2 year(s),12 Aug2025,1,At least 28 years,Negotiable,05 Aug 2025,"Age At least 28 years; Must be a Chartered Accountant (CA) with a valid certification.; Proven experience working as an Accountant, specifically within a travel agency is essential.; Strong knowledge of accounting principles and practices.; Proficiency in accounting software Traacs and MS Office Suite, especially Excel.; Excellent analytical and problem-solving skills.; High level of accuracy and attention to detail.; Ability to work independently and manage multiple tasks efficiently.; Needs to be a religious person with good faith, and must be compliant with daily 5 times prayers.",Bachelor of Business Administration (BBA) in Accounting; Bachelor of Business Administration (BBA) in Finance & Banking,Salary Review: Yearly; Festival Bonus: 2,Full Time,N/A
Senior Executive - Accounts Production,https://jobs.bdjobs.com/jobdetails/?id=1392441&fcatId=1&ln=1,1392441,1,OTG Bangladesh,N/A,Gulshan,2 to 3 year(s),2 Sep2025,2,20 to 35 years,Tk. 30000 - 45000 (Monthly),04 Aug 2025,"Age 20 to 35 years; 2-3 years experience in bookkeeping or related job will be preferable; Running ACCA students are encouraged to apply.; Advanced user of MS office tools(specially MS Excel); Excellent in Microsoft Excel, Word and G-suite applications; Self-motivated, pro-active and focused team player; Pleasant personality with strong communication skills; Fluent in written and spoken English Knowledge on accounting software (Xero, Friisbee, Dext, Freeagent) will be considered as extra advantage; Ability to adapt, grow and learn in a changing and progressive environment; Professionalism and work ethics",Bachelor of Business Administration (BBA) in Accounting,"Mobile bill,Medical allowance,Weekly 2 holidays,Insurance; Salary Review: Yearly; Festival Bonus: 2",Full Time,N/A
Accounts Officer,https://jobs.bdjobs.com/jobdetails/?id=1392739&fcatId=1&ln=1,1392739,1,One Up Group,N/A,"Gazipur, Gazipur Sadar",At least 3 year(s),3 Sep2025,2,N/A,Tk. 25000 - 30000 (Monthly),04 Aug 2025,N/A,"Master of Business Administration (MBA) in Accounting; Bachelor/Honors; Experience Should be in RMG factory, preferably in sweaters factory.",N/A,Full Time,N/A
Senior Executive - Finance & Accounts,https://jobs.bdjobs.com/jobdetails/?id=1392824&fcatId=1&ln=1,1392824,1,Agrigate Network Limited,N/A,Baridhara,2 to 3 year(s),9 Aug2025,2,N/A,Negotiable,04 Aug 2025,"2–3 years of relevant work experience.; Basic understanding of accounting principles, standards, and local regulations.; Proficiency in MS Excel and familiarity with accounting software (e.g., QuickBooks).; Good communication and interpersonal skills.; Ability to handle confidential information responsibly and with integrity.",Bachelor of Business Administration (BBA) in Finance & Banking; Bachelor of Business Administration (BBA) in Accounting; Bachelor of Business Administration (BBA) in Accounting & Information System; Bachelor of Business Administration (BBA) in Cost & Management Accounting; Master of Business Administration (MBA) in Finance & Banking,,Full Time,N/A
Officer / Senior Officer-Business Administration,https://jobs.bdjobs.com/jobdetails/?id=1392812&fcatId=1&ln=1,1392812,1,Swisscontact Bangladesh,,Dhaka,At least 1 year(s),19 Aug2025,--,N/A,N/A,04 Aug 2025,"Good verbal and written communication skills in English and Bangla.; Excellent computer literacy in MS Office programmes (specifically Word, Excel, PowerPoint and Outlook).; Is a team player but also has the ability to work independently with limited supervision.; Excellent organisational skills and ability to multitask effectively under pressure.; Demonstrates curiosity to learn and acquire knowledge from vastly different. sources.; Results orientated and good reporting skills.; Attentive to details and quality of work.; Works with trustworthiness and integrity and is committed to Swisscontact's core values.; Demonstrates awareness and sensitivity to gender and diversity (including sensitivity towards people with disability).; Must be willing and able to take part in field activities as/when needed, sometimes under short notice.",Bachelor of Business Administration (BBA); A bachelor’s degree in Business Administration or any other relevant discipline with minimum 1 year professional experience in similar role(s) preferably in NGO/INGO.,N/A,Full Time,N/A
AGM / DGM (Head of Accounts),https://jobs.bdjobs.com/jobdetails/?id=1392819&fcatId=1&ln=1,1392819,1,A Large Reputed Group of Industries,N/A,Anywhere in Bangladesh,At least 15 year(s),3 Sep2025,--,N/A,Negotiable,04 Aug 2025,,Master of Commerce (MCom) in Accounting; Master of Business Administration (MBA) in Accounting; CA CC or FCA or FCMA qualified members will be preferred.,"Mobile bill,Provident fund; Lunch Facilities: Partially Subsidize; Salary Review: Yearly; Festival Bonus: 2; EL Encashment.; Others as per Company Policy.",Full Time,N/A
একাউন্টস অফিসার,https://jobs.bdjobs.com/jobdetails/?id=1392777&fcatId=1&ln=1,1392777,1,New Shodesh Islami Multi Purpose Co Operative Society LTD,N/A,Savar city,Na,12 Aug2025,2,30 to 35 years,Tk. 16000 (Monthly),04 Aug 2025,Age 30 to 35 years; হিসাব সংরক্ষণ এবং এমএস ওয়ার্ড ও এক্সেলসহ কম্পিউটার চালনায় পারদর্শী।; অফিস এবং মাঝে মাঝে অফিসের বাইরেও কাজ করতে হবে।,Bachelor of Business Administration (BBA); Master of Business Administration (MBA),,Full Time,Only Male
Chief Operating Officer (COO),https://jobs.bdjobs.com/jobdetails/?id=1392807&fcatId=1&ln=1,1392807,1,Zaytoon Fintech Limited,N/A,Dhaka,5 to 10 year(s),20 Aug2025,1,N/A,Negotiable,04 Aug 2025,"Minimum 10 years of experience in financial services or fintech sector.; At least 5 years in a senior leadership/COO or equivalent position.; Strong understanding of merchant payment infrastructure, agent banking, MFS, or QR-based payment models.; Strong communication and stakeholder engagement skills","Master’s Degree in Business Administration, Finance, or related field from a reputed university.; Professional certifications in fintech, digital finance, or project management will be an advantage.",Commensurate with experience and qualifications. Applicant may mention his/her asking salary,Full Time,N/A
"Executive/Sr. Executive, Receivable Management",https://jobs.bdjobs.com/jobdetails/?id=1392796&fcatId=1&ln=1,1392796,1,building technology & ideas ltd.,N/A,Dhaka,3 to 5 year(s),3 Sep2025,1,N/A,Negotiable,04 Aug 2025,3 to 5 years of experience in the related field,Bachelor of Business Administration (BBA); Master of Business Administration (MBA),Pick & Drop Facility; Salary Review: Yearly based on performance; Festival Bonus: 2 (Yearly); Earn leave Encashment; Gratuity Scheme; Lunch & Mobile Allowance; Welfare Fund; Weekly Holidays: Friday and Alternative Thursday,Full Time,N/A
একাউন্টস অফিসার,https://jobs.bdjobs.com/jobdetails/?id=1392737&fcatId=1&ln=1,1392737,1,J&R Traders,N/A,Khulna Sadar,2 to 5 year(s),3 Sep2025,--,25 to 40 years,Negotiable,04 Aug 2025,Age 25 to 40 years; যে কোন প্রতিষ্ঠানে একাউন্টস এর কাজের দক্ষতা থাকতে হবে।; কম্পিউটার এবং হ্যান্ডরাইটিং ভালো হতে হবে।; ফার্নিচারের কাজের অভিজ্ঞদের অগ্রাধিকার দেওয়া হবে।; খুলনার স্থানীয় প্রার্থীদের অগ্রাধিকার দেওয়া হবে।,Bachelor/Honors; একাউন্টিং এর ছাত্রদের অগ্রাধিকার দেওয়া হবে।,N/A,Full Time,Only Male
Accounts Officer,https://jobs.bdjobs.com/jobdetails/?id=1392716&fcatId=1&ln=1,1392716,1,Bangladesh Bondhu Foundation (BONDHU),N/A,Dhaka,At least 2 year(s),14 Aug2025,--,N/A,Negotiable,04 Aug 2025,At least 2 years of experience in a relevant field.,Bachelor of Business Administration (BBA) in Accounting; Bachelor of Business Administration (BBA) in Finance; Master of Business Administration (MBA) in Accounting; Master of Business Administration (MBA) in Finance; Bachelor’s Degree in Accounting/Finance (Master’s preferred); CA (CC) or part-qualified will be an added advantage,Competitive salary and yearly increments.; Festival bonuses as per company policy.; Provident fund and other benefits.,Full Time,N/A
Chartered Accountant (Assistant Director),https://jobs.bdjobs.com/jobdetails/?id=1392669&fcatId=1&ln=1,1392669,1,A. Wahab & Co,N/A,Dhaka Sadar,At least 5 year(s),20 Aug2025,1,27 to 50 years,Negotiable,04 Aug 2025,"Age 27 to 50 years; The ideal candidate will demonstrate strong technical competence in accounting, audit, taxation, and advisory services, with a keen understanding of the regulatory landscape in Bangladesh (e.g., ICAB standards, NBR rules, Bangladesh Companies Act, etc.).; This is a client-facing role with hands-on responsibilities across diverse sectors, offering exposure to high-value clients, cross-border tax issues, and compliance mandates under Bangladeshi and international standards.; Female candidates are encouraged to apply",Bachelor of Commerce (BCom) in Accounting; ACA/ FCA/ CPA,"Mobile bill,Medical allowance,Weekly 2 holidays; Salary Review: Yearly; Festival Bonus: 2",Full Time,N/A
Executive/Sr. Executive (Accounts & VAT),https://jobs.bdjobs.com/jobdetails/?id=1392708&fcatId=1&ln=1,1392708,1,Graphics Textiles Limited,N/A,Dhaka,2 to 3 year(s),31 Aug2025,1,25 to 40 years,Negotiable,04 Aug 2025,Age 25 to 40 years,Master of Commerce (MCom),"Mobile bill,Insurance; Lunch Facilities: Partially Subsidize; Salary Review: Yearly; Festival Bonus: 2",Full Time,Only Male
Accounts Officer (Depot Office),https://jobs.bdjobs.com/jobdetails/?id=1392604&fcatId=1&ln=1,1392604,1,One Pharma Limited,N/A,Anywhere in Bangladesh,3 to 5 year(s),3 Sep2025,--,20 to 35 years,Negotiable,04 Aug 2025,Age 20 to 35 years; Having good knowledge in Microsoft Office·; Experience in Pharmaceutical industry will get preference.,Bachelor of Commerce (BCom); Master of Commerce (MCom); B. Com/ M. Com degree (Honor’s/ master’s in accounting or finance is preferable),"T/A,Mobile bill,Provident fund; Salary Review: Yearly; Festival Bonus: 2",Full Time,N/A
Accountant,https://jobs.bdjobs.com/jobdetails/?id=1392570&fcatId=1&ln=1,1392570,1,Bovine Leather,N/A,Hazaribagh,At least 1 year(s),3 Sep2025,--,18 to 35 years,Tk. 15000 - 20000 (Monthly),04 Aug 2025,Age 18 to 35 years,Bachelor of Business Administration (BBA),Mobile bill,Full Time,Only Male
Assistant Manager - Finance & Accounts,https://jobs.bdjobs.com/jobdetails/?id=1392528&fcatId=1&ln=1,1392528,1,Dekko Accessories Ltd.,,Dhanmondi,5 to 6 year(s),30 Aug2025,2,26 to 38 years,Negotiable,04 Aug 2025,Age 26 to 38 years,"Bachelor of Business Administration (BBA) in Accounting; Bachelor of Business Administration (BBA) in Finance; CA, ACMA/ ACA (Final Level)",N/A,Full Time,N/A
Manager/ Sr. Manager - Financial Planning & Accounting Controlling,https://jobs.bdjobs.com/jobdetails/?id=1392524&fcatId=1&ln=1,1392524,1,Dekko Accessories Ltd.,,Dhanmondi,9 to 10 year(s),30 Aug2025,2,36 to 40 years,Negotiable,04 Aug 2025,Age 36 to 40 years,Bachelor of Commerce (BCom) in Accounting; ACMA/ ACA (Final Level),N/A,Full Time,N/A
"Programme Associate, Energy Finance",https://jobs.bdjobs.com/jobdetails/?id=1392375&fcatId=1&ln=1,1392375,1,Centre for Policy Dialogue (CPD),,Dhaka,Na,13 Aug2025,--,N/A,Tk. 35000 (Monthly),04 Aug 2025,,The ideal candidate should have a degree in Finance or other relevant field with a minimum CGPA of 3.60 from a reputed university.,,Full Time,N/A
